id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
3631,KLAS,large_airport,"Harry Reid International Airport",36.083361,-115.151817,2181,NA,"United States",US,Nevada,US-NV,NV,"Las Vegas",1,KLAS,LAS,LAS,https://www.harryreidairport.com/,https://en.wikipedia.org/wiki/Harry_Reid_International_Airport,"McCarran International Airport",1068475,2022-10-18T19:05:10+00:00
3853,KRNO,large_airport,"Reno Tahoe International Airport",39.49909973144531,-119.76799774169922,4415,NA,"United States",US,Nevada,US-NV,NV,Reno,1,KRNO,RNO,RNO,,https://en.wikipedia.org/wiki/Reno-Tahoe_International_Airport,,1050,2009-02-03T07:40:35+00:00
21321,KVGT,medium_airport,"North Las Vegas Metropolitan International Airport",36.210701,-115.194,2205,NA,"United States",US,Nevada,US-NV,NV,"Las Vegas",0,KVGT,VGT,VGT,http://www.vgt.aero/index.html,https://en.wikipedia.org/wiki/North_Las_Vegas_Airport,"Northtown Airport, Las Vegas North Air Terminal",250,2021-11-21T15:04:52+00:00
20068,KHND,small_airport,"Henderson Executive Airport",35.9728012085,-115.134002686,2492,NA,"United States",US,Nevada,US-NV,NV,"Las Vegas",0,KHND,HSH,HND,http://www.hnd.aero/,https://en.wikipedia.org/wiki/Henderson_Executive_Airport,"L15, Sky Harbor Airport",50,2015-11-14T08:04:58+00:00
3508,KEKO,medium_airport,"Elko Regional Airport",40.82490158081055,-115.79199981689453,5140,NA,"United States",US,Nevada,US-NV,NV,Elko,1,KEKO,EKO,EKO,,https://en.wikipedia.org/wiki/Elko_Regional_Airport,,750,2008-06-13T14:30:04+00:00
20493,KMEV,small_airport,"Minden-Tahoe Airport",39.00030136,-119.7509995,4722,NA,"United States",US,Nevada,US-NV,NV,Minden,0,KMEV,MEV,MEV,http://mindentahoeairport.com/,https://en.wikipedia.org/wiki/Minden%E2%80%93Tahoe_Airport,,50,2015-03-03T00:29:47+00:00
18945,K61B,medium_airport,"Boulder City Municipal Airport",35.947498,-114.861,2201,NA,"United States",US,Nevada,US-NV,NV,"Boulder City",0,KBVU,BLD,BVU,,https://en.wikipedia.org/wiki/Boulder_City_Municipal_Airport,61B,250,2022-10-23T22:46:25+00:00
18853,K4SD,small_airport,"Reno-Stead Airport",39.6674,-119.875999,5050,NA,"United States",US,Nevada,US-NV,NV,Reno,0,KRTS,,RTS,http://renoairport.com/reno-stead,https://en.wikipedia.org/wiki/Reno_Stead_Airport,4SD,50,2022-09-19T14:12:33+00:00
19577,KCXP,small_airport,"Carson Airport",39.1922,-119.734001,4697,NA,"United States",US,Nevada,US-NV,NV,"Carson City",0,KCXP,CSN,CXP,http://flycarsoncity.com/,https://en.wikipedia.org/wiki/Carson_Airport,"O04, Carson City Airport",50,2022-10-23T23:16:57+00:00
21216,KTPH,medium_airport,"Tonopah Airport",38.06019974,-117.086998,5430,NA,"United States",US,Nevada,US-NV,NV,Tonopah,0,KTPH,TPH,TPH,http://www.tonopahnevada.com/airport.html,https://en.wikipedia.org/wiki/Tonopah_Airport,,250,2015-12-03T22:57:14+00:00
20689,KO43,small_airport,"Yerington Municipal Airport",39.0041007996,-119.157997131,4378,NA,"United States",US,Nevada,US-NV,NV,Yerington,0,O43,EYR,O43,http://www.yerington.net/index.aspx?nid=86,https://en.wikipedia.org/wiki/Yerington_Municipal_Airport,,50,2014-09-15T00:35:16+00:00
